id,name,code,country,founded,national,logo,venue_id,venue_name,venue_city,venue_capacity,venue_surface,venue_address,venue_image,league_id
530,Atletico Madrid,MAD,Spain,1903.0,False,https://media.api-sports.io/football/teams/530.png,19217,Estádio Cívitas Metropolitano,Madrid,70460,grass,Rosas,https://media.api-sports.io/football/venues/19217.png,140
531,Athletic Club,BIL,Spain,1898.0,False,https://media.api-sports.io/football/teams/531.png,1460,San Mamés Barria,Bilbao,53289,grass,Rafael Moreno Pitxitxi Kalea,https://media.api-sports.io/football/venues/1460.png,140
532,Valencia,VAL,Spain,1919.0,False,https://media.api-sports.io/football/teams/532.png,1497,Estadio de Mestalla,Valencia,55000,grass,Avenida de Suecia,https://media.api-sports.io/football/venues/1497.png,140
533,Villarreal,VIL,Spain,1923.0,False,https://media.api-sports.io/football/teams/533.png,1498,Estadio de la Cerámica,Villarreal,24500,grass,Plaza Labrador,https://media.api-sports.io/football/venues/1498.png,140
534,Las Palmas,PAL,Spain,1949.0,False,https://media.api-sports.io/football/teams/534.png,1481,Estadio de Gran Canaria,Las Palmas de Gran Canaria,32392,grass,Avenida Pío XII 29,https://media.api-sports.io/football/venues/1481.png,140
536,Sevilla,SEV,Spain,1890.0,False,https://media.api-sports.io/football/teams/536.png,1494,Estadio Ramón Sánchez Pizjuán,Sevilla,48649,grass,Avenida de Eduardo Dato,https://media.api-sports.io/football/venues/1494.png,140
538,Celta Vigo,CEL,Spain,1923.0,False,https://media.api-sports.io/football/teams/538.png,1467,Abanca-Balaídos,Vigo,31800,grass,Avenida de Balaídos,https://media.api-sports.io/football/venues/1467.png,140
541,Real Madrid,REA,Spain,1902.0,False,https://media.api-sports.io/football/teams/541.png,1456,Estadio Santiago Bernabéu,Madrid,85454,grass,"Avenida de Concha Espina 1, Chamartín",https://media.api-sports.io/football/venues/1456.png,140
542,Alaves,ALA,Spain,1921.0,False,https://media.api-sports.io/football/teams/542.png,1470,Estadio de Mendizorroza,Vitoria-Gasteiz,19840,grass,Paseo de Cervantes,https://media.api-sports.io/football/venues/1470.png,140
543,Real Betis,BET,Spain,1907.0,False,https://media.api-sports.io/football/teams/543.png,1489,Estadio Benito Villamarín,Sevilla,60721,grass,Avenida de Heliópolis,https://media.api-sports.io/football/venues/1489.png,140
546,Getafe,GET,Spain,1983.0,False,https://media.api-sports.io/football/teams/546.png,20422,Estadio Coliseum,Getafe,17393,grass,Avenida de Teresa de Calcuta,https://media.api-sports.io/football/venues/20422.png,140
547,Girona,GIR,Spain,1930.0,False,https://media.api-sports.io/football/teams/547.png,1478,Estadi Municipal de Montilivi,Girona,14500,grass,Avenida Montlivi 141,https://media.api-sports.io/football/venues/1478.png,140
548,Real Sociedad,RSO,Spain,1909.0,False,https://media.api-sports.io/football/teams/548.png,1491,Reale Arena,Donostia-San Sebastián,40000,grass,Paseo de Anoeta 1,https://media.api-sports.io/football/venues/1491.png,140
715,Granada CF,GRA,Spain,1931.0,False,https://media.api-sports.io/football/teams/715.png,1479,Estadio Nuevo Los Cármenes,Granada,23156,grass,Calle Pintor Manuel Maldonado,https://media.api-sports.io/football/venues/1479.png,140
723,Almeria,ALM,Spain,1989.0,False,https://media.api-sports.io/football/teams/723.png,19216,Power Horse Stadium – Estadio de los Juegos Mediterráneos,Almería,21350,grass,Calle de Belladona,https://media.api-sports.io/football/venues/19216.png,140
724,Cadiz,CAD,Spain,1910.0,False,https://media.api-sports.io/football/teams/724.png,11915,Estadio Nuevo Mirandilla,Cádiz,22000,grass,Plaza de Madrid,https://media.api-sports.io/football/venues/11915.png,140
727,Osasuna,OSA,Spain,1920.0,False,https://media.api-sports.io/football/teams/727.png,1486,Estadio El Sadar,Iruñea,23576,grass,Carretera El Sadar,https://media.api-sports.io/football/venues/1486.png,140
728,Rayo Vallecano,RAY,Spain,1924.0,False,https://media.api-sports.io/football/teams/728.png,1488,Estadio de Vallecas,Madrid,15500,grass,Calle Payaso Fofó,https://media.api-sports.io/football/venues/1488.png,140
798,Mallorca,MAL,Spain,1916.0,False,https://media.api-sports.io/football/teams/798.png,19940,Estadi Mallorca Son Moix,Palma de Mallorca,23142,grass,Camí dels Reis,https://media.api-sports.io/football/venues/19940.png,140
571,Red Bull Salzburg,SAL,Austria,1933.0,False,https://media.api-sports.io/football/teams/571.png,148,Red Bull Arena,Wals-Siezenheim,31895,grass,Stadionstrasse 2/3,https://media.api-sports.io/football/venues/148.png,218
601,Austria Vienna,AUS,Austria,1911.0,False,https://media.api-sports.io/football/teams/601.png,136,Generali Arena,Wien,18944,grass,Fischhofgasse 14,https://media.api-sports.io/football/venues/136.png,218
618,SCR Altach,ALT,Austria,1929.0,False,https://media.api-sports.io/football/teams/618.png,146,CASHPOINT Arena,Altach,8500,grass,Schnabelholz 1,https://media.api-sports.io/football/venues/146.png,218
637,Sturm Graz,STU,Austria,1909.0,False,https://media.api-sports.io/football/teams/637.png,150,Merkur Arena,Graz,16764,grass,Stadionplatz 1 A,https://media.api-sports.io/football/venues/150.png,218
781,Rapid Vienna,RAP,Austria,1899.0,False,https://media.api-sports.io/football/teams/781.png,145,Allianz Stadion,Wien,28345,grass,"Gerhard Hanappi Platz 1, Hütteldorf",https://media.api-sports.io/football/venues/145.png,218
1025,Wolfsberger AC,WOL,Austria,1931.0,False,https://media.api-sports.io/football/teams/1025.png,1761,Lavanttal Arena,Wolfsberg,9000,grass,Don-Bosco-Weg 1,https://media.api-sports.io/football/venues/1761.png,218
1026,Lask Linz,LAS,Austria,1908.0,False,https://media.api-sports.io/football/teams/1026.png,143,Raiffeisen Arena,Linz,19080,grass,"Ziegeleistraße 76, Froschberg",https://media.api-sports.io/football/venues/143.png,218
1072,TSV Hartberg,HAR,Austria,1946.0,False,https://media.api-sports.io/football/teams/1072.png,140,PROfertil ARENA,Hartberg,5420,grass,Stefan-Seedoch-Allee 26,https://media.api-sports.io/football/venues/140.png,218
1394,FC BW Linz,LIN,Austria,1997.0,False,https://media.api-sports.io/football/teams/1394.png,11873,Hofmann Personal Stadion,Linz,6000,grass,Straßerau 3,https://media.api-sports.io/football/venues/11873.png,218
1398,WSG Wattens,WAT,Austria,1930.0,False,https://media.api-sports.io/football/teams/1398.png,152,Tivoli Stadion Tirol,Innsbruck,16008,grass,Stadionstrasse 1b,https://media.api-sports.io/football/venues/152.png,218
1399,Austria Lustenau,LUS,Austria,1914.0,False,https://media.api-sports.io/football/teams/1399.png,10523,ImmoAgentur Stadion Bregenz,Bregenz,11112,grass,Sägerstraße 2,https://media.api-sports.io/football/venues/10523.png,218
1405,Austria Klagenfurt,,Austria,,False,https://media.api-sports.io/football/teams/1405.png,11874,Wörthersee Stadion,Klagenfurt am Wörthersee,32000,grass,Südring 207,https://media.api-sports.io/football/venues/11874.png,218
79,Lille,LIL,France,1944.0,False,https://media.api-sports.io/football/teams/79.png,19207,Decathlon Arena – Stade Pierre-Mauroy,Villeneuve d&apos;Ascq,50083,grass,"261, Boulevard de Tournai, l&apos;Hôtel de Ville",https://media.api-sports.io/football/venues/19207.png,61
80,Lyon,LYO,France,1950.0,False,https://media.api-sports.io/football/teams/80.png,666,Groupama Stadium,Décines-Charpieu,61556,grass,Chemin du Montout,https://media.api-sports.io/football/venues/666.png,61
81,Marseille,MAR,France,1899.0,False,https://media.api-sports.io/football/teams/81.png,12678,Stade Orange Vélodrome,Marseille,67394,grass,"3, boulevard Michelet",https://media.api-sports.io/football/venues/12678.png,61
82,Montpellier,MON,France,1974.0,False,https://media.api-sports.io/football/teams/82.png,20107,Stade de la Mosson-Mondial 98,Montpellier,32939,grass,Avenue de Heidelberg,https://media.api-sports.io/football/venues/20107.png,61
83,Nantes,NAN,France,1943.0,False,https://media.api-sports.io/football/teams/83.png,662,Stade de la Beaujoire - Louis Fonteneau,Nantes,38285,grass,"5, boulevard de la Beaujoire",https://media.api-sports.io/football/venues/662.png,61
84,Nice,NIC,France,1904.0,False,https://media.api-sports.io/football/teams/84.png,663,Allianz Riviera,Nice,35624,grass,Boulevard des Jardiniers,https://media.api-sports.io/football/venues/663.png,61
85,Paris Saint Germain,PAR,France,1970.0,False,https://media.api-sports.io/football/teams/85.png,671,Parc des Princes,Paris,47929,grass,"24, rue du Commandant Guilbaud",https://media.api-sports.io/football/venues/671.png,61
91,Monaco,MON,France,1919.0,False,https://media.api-sports.io/football/teams/91.png,20470,Stade Louis-II,Monaco,18523,grass,"7, avenue des Castelans",https://media.api-sports.io/football/venues/20470.png,61
93,Reims,REI,France,1909.0,False,https://media.api-sports.io/football/teams/93.png,674,Stade Auguste-Delaune II,Reims,21684,grass,"33, Chaussée Bocquaine",https://media.api-sports.io/football/venues/674.png,61
94,Rennes,REN,France,1901.0,False,https://media.api-sports.io/football/teams/94.png,680,Roazhon Park,Rennes,31127,grass,"111, route de Lorient",https://media.api-sports.io/football/venues/680.png,61
95,Strasbourg,STR,France,1906.0,False,https://media.api-sports.io/football/teams/95.png,681,Stade de la Meinau,Strasbourg,26109,grass,"12, rue de l&apos;Extenwoerth",https://media.api-sports.io/football/venues/681.png,61
96,Toulouse,TOU,France,1937.0,False,https://media.api-sports.io/football/teams/96.png,682,Stadium de Toulouse,Toulouse,33150,grass,"1, allée Gabriel Biènés",https://media.api-sports.io/football/venues/682.png,61
97,Lorient,LOR,France,1926.0,False,https://media.api-sports.io/football/teams/97.png,21430,Stade du Moustoir - Yves Allainmat,Lorient,18970,artificial turf,"11, rue Jean Le Coutaller",https://media.api-sports.io/football/venues/21430.png,61
99,Clermont Foot,CLE,France,1990.0,False,https://media.api-sports.io/football/teams/99.png,21429,Stade Gabriel-Montpied,Clermont-Ferrand,13576,grass,Rue Adrien-Mabut,https://media.api-sports.io/football/venues/21429.png,61
106,Stade Brestois 29,BRE,France,1950.0,False,https://media.api-sports.io/football/teams/106.png,641,Stade Francis-Le Blé,Brest,15931,grass,"26, rue de Quimper",https://media.api-sports.io/football/venues/641.png,61
111,Le Havre,HAV,France,1872.0,False,https://media.api-sports.io/football/teams/111.png,652,Stade Océane,Le Havre,25178,grass,Boulevard de Léningrad,https://media.api-sports.io/football/venues/652.png,61
112,Metz,MET,France,1932.0,False,https://media.api-sports.io/football/teams/112.png,658,Stade Saint-Symphorien,Longeville-lès-Metz,30000,grass,"3, allée Saint-Symphorien",https://media.api-sports.io/football/venues/658.png,61
116,Lens,LEN,France,1906.0,False,https://media.api-sports.io/football/teams/116.png,654,Stade Bollaert-Delelis,Lens,41233,grass,"83, rue Maurice-Carton",https://media.api-sports.io/football/venues/654.png,61
1063,Saint Etienne,ETI,France,1920.0,False,https://media.api-sports.io/football/teams/1063.png,676,Stade Geoffroy-Guichard,Saint-Ètienne,41965,grass,"14, rue Pierre et Paul Guichard",https://media.api-sports.io/football/venues/676.png,61
