id,name,type,logo,code,flag
526,France,Cup,https://media.api-sports.io/football/leagues/526.png,FR,https://media.api-sports.io/flags/fr.svg
242,Ecuador,League,https://media.api-sports.io/football/leagues/242.png,EC,https://media.api-sports.io/flags/ec.svg
243,Ecuador,League,https://media.api-sports.io/football/leagues/243.png,EC,https://media.api-sports.io/flags/ec.svg
539,Egypt,Cup,https://media.api-sports.io/football/leagues/539.png,EG,https://media.api-sports.io/flags/eg.svg
535,World,Cup,https://media.api-sports.io/football/leagues/535.png,,
397,Angola,League,https://media.api-sports.io/football/leagues/397.png,AO,https://media.api-sports.io/flags/ao.svg
343,Armenia,League,https://media.api-sports.io/football/leagues/343.png,AM,https://media.api-sports.io/flags/am.svg
342,Armenia,League,https://media.api-sports.io/football/leagues/342.png,AM,https://media.api-sports.io/flags/am.svg
481,Australia,League,https://media.api-sports.io/football/leagues/481.png,AU,https://media.api-sports.io/flags/au.svg
116,Belarus,League,https://media.api-sports.io/football/leagues/116.png,BY,https://media.api-sports.io/flags/by.svg
117,Belarus,League,https://media.api-sports.io/football/leagues/117.png,BY,https://media.api-sports.io/flags/by.svg
118,Belarus,League,https://media.api-sports.io/football/leagues/118.png,BY,https://media.api-sports.io/flags/by.svg
400,Zambia,League,https://media.api-sports.io/football/leagues/400.png,ZM,https://media.api-sports.io/flags/zm.svg
340,Vietnam,League,https://media.api-sports.io/football/leagues/340.png,VN,https://media.api-sports.io/flags/vn.svg
102,Japan,Cup,https://media.api-sports.io/football/leagues/102.png,JP,https://media.api-sports.io/flags/jp.svg
101,Japan,Cup,https://media.api-sports.io/football/leagues/101.png,JP,https://media.api-sports.io/flags/jp.svg
98,Japan,League,https://media.api-sports.io/football/leagues/98.png,JP,https://media.api-sports.io/flags/jp.svg
99,Japan,League,https://media.api-sports.io/football/leagues/99.png,JP,https://media.api-sports.io/flags/jp.svg
100,Japan,League,https://media.api-sports.io/football/leagues/100.png,JP,https://media.api-sports.io/flags/jp.svg
389,Kazakhstan,League,https://media.api-sports.io/football/leagues/389.png,KZ,https://media.api-sports.io/flags/kz.svg
276,Kenya,League,https://media.api-sports.io/football/leagues/276.png,KE,https://media.api-sports.io/flags/ke.svg
121,Denmark,Cup,https://media.api-sports.io/football/leagues/121.png,DK,https://media.api-sports.io/flags/dk.svg
379,Haiti,League,https://media.api-sports.io/football/leagues/379.png,HT,https://media.api-sports.io/flags/ht.svg
364,Latvia,League,https://media.api-sports.io/football/leagues/364.png,LV,https://media.api-sports.io/flags/lv.svg
365,Latvia,League,https://media.api-sports.io/football/leagues/365.png,LV,https://media.api-sports.io/flags/lv.svg
361,Lithuania,League,https://media.api-sports.io/football/leagues/361.png,LT,https://media.api-sports.io/flags/lt.svg
362,Lithuania,League,https://media.api-sports.io/football/leagues/362.png,LT,https://media.api-sports.io/flags/lt.svg
28,World,Cup,https://media.api-sports.io/football/leagues/28.png,,
505,Singapore,Cup,https://media.api-sports.io/football/leagues/505.png,SG,https://media.api-sports.io/flags/sg.svg
421,Aruba,League,https://media.api-sports.io/football/leagues/421.png,AW,https://media.api-sports.io/flags/aw.svg
420,Azerbaijan,Cup,https://media.api-sports.io/football/leagues/420.png,AZ,https://media.api-sports.io/flags/az.svg
298,Thailand,Cup,https://media.api-sports.io/football/leagues/298.png,TH,https://media.api-sports.io/flags/th.svg
376,Fiji,League,https://media.api-sports.io/football/leagues/376.png,FJ,https://media.api-sports.io/flags/fj.svg
64,France,League,https://media.api-sports.io/football/leagues/64.png,FR,https://media.api-sports.io/flags/fr.svg
3,World,Cup,https://media.api-sports.io/football/leagues/3.png,,
327,Georgia,League,https://media.api-sports.io/football/leagues/327.png,GE,https://media.api-sports.io/flags/ge.svg
378,Guinea,League,https://media.api-sports.io/football/leagues/378.png,GN,https://media.api-sports.io/flags/gn.svg
807,World,Cup,https://media.api-sports.io/football/leagues/807.png,,
19,World,Cup,https://media.api-sports.io/football/leagues/19.png,,
24,World,Cup,https://media.api-sports.io/football/leagues/24.png,,
37,World,Cup,https://media.api-sports.io/football/leagues/37.png,,
520,Brazil,League,https://media.api-sports.io/football/leagues/520.png,BR,https://media.api-sports.io/flags/br.svg
547,Italy,Cup,https://media.api-sports.io/football/leagues/547.png,IT,https://media.api-sports.io/flags/it.svg
527,Chile,Cup,https://media.api-sports.io/football/leagues/527.png,CL,https://media.api-sports.io/flags/cl.svg
